accuracy,precision_pos,recall_pos,f1_pos,auc_roc,confusion_matrix,model,threshold,model_family,genes
0.8990825688073395,0.8205128205128205,0.8888888888888888,0.8533333333333334,0.963089802130898,"[[66, 7], [4, 32]]",baseline_Regressao Logistica,0.5,,
0.8623853211009175,0.7837837837837838,0.8055555555555556,0.7945205479452054,0.8700532724505328,"[[65, 8], [7, 29]]",baseline_Arvore de Decisao,0.5,,
0.9357798165137615,0.967741935483871,0.8333333333333334,0.8955223880597015,0.9505327245053273,"[[72, 1], [6, 30]]",baseline_Random Forest,0.5,,
0.908256880733945,0.9333333333333333,0.7777777777777778,0.8484848484848485,0.9613774733637748,"[[71, 2], [8, 28]]",baseline_KNN,0.5,,
0.944954128440367,1.0,0.8333333333333334,0.9090909090909091,0.9505327245053273,"[[73, 0], [6, 30]]",threshold_tuning_Random Forest,0.6,,
0.9174311926605505,0.813953488372093,0.9722222222222222,0.8860759493670886,0.963089802130898,"[[65, 8], [1, 35]]",threshold_tuning_Regressao Logistica,0.4,,
0.908256880733945,0.825,0.9166666666666666,0.868421052631579,0.9613774733637748,"[[66, 7], [3, 33]]",threshold_tuning_KNN,0.25,,
0.8715596330275229,0.8055555555555556,0.8055555555555556,0.8055555555555556,0.8700532724505328,"[[66, 7], [7, 29]]",threshold_tuning_Arvore de Decisao,0.55,,
0.7706422018348624,0.5964912280701754,0.9444444444444444,0.7311827956989247,0.9501522070015221,"[[50, 23], [2, 34]]",GA-Tuning-Recall-Clinico,0.3,logistic_regression,"{""C"": 0.1, ""class_weight"": ""balanced"", ""max_iter"": 3000, ""penalty"": ""l1"", ""solver"": ""liblinear"", ""threshold"": 0.3}"
0.9357798165137615,0.9393939393939394,0.8611111111111112,0.8985507246376812,0.9493911719939118,"[[71, 2], [5, 31]]",GA-Tuning-Balanceado,0.5,logistic_regression,"{""C"": 0.1, ""class_weight"": null, ""max_iter"": 1000, ""penalty"": ""l1"", ""solver"": ""liblinear"", ""threshold"": 0.5}"
