experiment,generation,best_fitness,mean_fitness,diversity,model_family,best_genes,recall_pos,f1_pos,auc_roc,accuracy
GA-Tuning-Recall-Clinico,0,0.8826616163785425,0.7780971708801081,24,logistic_regression,"{""C"": 0.01, ""class_weight"": null, ""max_iter"": 1000, ""penalty"": ""l2"", ""solver"": ""liblinear"", ""threshold"": 0.3}",0.9859126984126985,0.7178616220735785,0.9538550802106739,0.7453703703703703
GA-Tuning-Recall-Clinico,1,0.8826616163785425,0.7781668480684837,24,logistic_regression,"{""C"": 0.01, ""class_weight"": null, ""max_iter"": 1000, ""penalty"": ""l2"", ""solver"": ""liblinear"", ""threshold"": 0.3}",0.9859126984126985,0.7178616220735785,0.9538550802106739,0.7453703703703703
GA-Tuning-Recall-Clinico,2,0.8826616163785425,0.7869604274315877,22,logistic_regression,"{""C"": 0.01, ""class_weight"": null, ""max_iter"": 1000, ""penalty"": ""l2"", ""solver"": ""liblinear"", ""threshold"": 0.3}",0.9859126984126985,0.7178616220735785,0.9538550802106739,0.7453703703703703
GA-Tuning-Recall-Clinico,3,0.8826616163785425,0.8158317249294017,20,logistic_regression,"{""C"": 0.01, ""class_weight"": null, ""max_iter"": 1000, ""penalty"": ""l2"", ""solver"": ""liblinear"", ""threshold"": 0.3}",0.9859126984126985,0.7178616220735785,0.9538550802106739,0.7453703703703703
GA-Tuning-Recall-Clinico,4,0.8826616163785425,0.796505785425197,22,logistic_regression,"{""C"": 0.01, ""class_weight"": null, ""max_iter"": 1000, ""penalty"": ""l2"", ""solver"": ""liblinear"", ""threshold"": 0.3}",0.9859126984126985,0.7178616220735785,0.9538550802106739,0.7453703703703703
GA-Tuning-Recall-Clinico,5,0.8826616163785425,0.7989720226180053,23,logistic_regression,"{""C"": 0.01, ""class_weight"": null, ""max_iter"": 1000, ""penalty"": ""l2"", ""solver"": ""liblinear"", ""threshold"": 0.3}",0.9859126984126985,0.7178616220735785,0.9538550802106739,0.7453703703703703
GA-Tuning-Recall-Clinico,6,0.8826616163785425,0.7867527756382303,21,logistic_regression,"{""C"": 0.01, ""class_weight"": null, ""max_iter"": 1000, ""penalty"": ""l2"", ""solver"": ""liblinear"", ""threshold"": 0.3}",0.9859126984126985,0.7178616220735785,0.9538550802106739,0.7453703703703703
GA-Tuning-Recall-Clinico,7,0.8849155088509939,0.722388762887168,23,logistic_regression,"{""C"": 0.1, ""class_weight"": ""balanced"", ""max_iter"": 3000, ""penalty"": ""l1"", ""solver"": ""liblinear"", ""threshold"": 0.3}",0.9716269841269841,0.760688784395681,0.9530988394216133,0.7986111111111112
GA-Tuning-Recall-Clinico,8,0.8849155088509939,0.8150395600364865,23,logistic_regression,"{""C"": 0.1, ""class_weight"": ""balanced"", ""max_iter"": 3000, ""penalty"": ""l1"", ""solver"": ""liblinear"", ""threshold"": 0.3}",0.9716269841269841,0.760688784395681,0.9530988394216133,0.7986111111111112
GA-Tuning-Recall-Clinico,9,0.8849155088509939,0.7922298190047196,24,logistic_regression,"{""C"": 0.1, ""class_weight"": ""balanced"", ""max_iter"": 3000, ""penalty"": ""l1"", ""solver"": ""liblinear"", ""threshold"": 0.3}",0.9716269841269841,0.760688784395681,0.9530988394216133,0.7986111111111112
GA-Tuning-Recall-Clinico,10,0.8849155088509939,0.759552270468522,23,logistic_regression,"{""C"": 0.1, ""class_weight"": ""balanced"", ""max_iter"": 3000, ""penalty"": ""l1"", ""solver"": ""liblinear"", ""threshold"": 0.3}",0.9716269841269841,0.760688784395681,0.9530988394216133,0.7986111111111112
GA-Tuning-Recall-Clinico,11,0.8849155088509939,0.7780831343022915,24,logistic_regression,"{""C"": 0.1, ""class_weight"": ""balanced"", ""max_iter"": 3000, ""penalty"": ""l1"", ""solver"": ""liblinear"", ""threshold"": 0.3}",0.9716269841269841,0.760688784395681,0.9530988394216133,0.7986111111111112
GA-Tuning-Recall-Clinico,12,0.8849155088509939,0.8001084391888972,22,logistic_regression,"{""C"": 0.1, ""class_weight"": ""balanced"", ""max_iter"": 3000, ""penalty"": ""l1"", ""solver"": ""liblinear"", ""threshold"": 0.3}",0.9716269841269841,0.760688784395681,0.9530988394216133,0.7986111111111112
GA-Tuning-Recall-Clinico,13,0.8849155088509939,0.8191670172195517,24,logistic_regression,"{""C"": 0.1, ""class_weight"": ""balanced"", ""max_iter"": 3000, ""penalty"": ""l1"", ""solver"": ""liblinear"", ""threshold"": 0.3}",0.9716269841269841,0.760688784395681,0.9530988394216133,0.7986111111111112
GA-Tuning-Recall-Clinico,14,0.8849155088509939,0.7917346492449568,24,logistic_regression,"{""C"": 0.1, ""class_weight"": ""balanced"", ""max_iter"": 3000, ""penalty"": ""l1"", ""solver"": ""liblinear"", ""threshold"": 0.3}",0.9716269841269841,0.760688784395681,0.9530988394216133,0.7986111111111112
GA-Tuning-Balanceado,0,0.8943922954716164,0.8506539394982083,24,logistic_regression,"{""C"": 0.05, ""class_weight"": null, ""max_iter"": 1000, ""penalty"": ""l1"", ""solver"": ""liblinear"", ""threshold"": 0.45}",0.8863095238095238,0.8535947860898451,0.95260261892682,0.8981481481481481
GA-Tuning-Balanceado,1,0.8943922954716164,0.8444824668999518,24,logistic_regression,"{""C"": 0.05, ""class_weight"": null, ""max_iter"": 1000, ""penalty"": ""l1"", ""solver"": ""liblinear"", ""threshold"": 0.45}",0.8863095238095238,0.8535947860898451,0.95260261892682,0.8981481481481481
GA-Tuning-Balanceado,2,0.8943922954716164,0.8655256964731923,23,logistic_regression,"{""C"": 0.05, ""class_weight"": null, ""max_iter"": 1000, ""penalty"": ""l1"", ""solver"": ""liblinear"", ""threshold"": 0.45}",0.8863095238095238,0.8535947860898451,0.95260261892682,0.8981481481481481
GA-Tuning-Balanceado,3,0.8943922954716164,0.8249607445826004,24,logistic_regression,"{""C"": 0.05, ""class_weight"": null, ""max_iter"": 1000, ""penalty"": ""l1"", ""solver"": ""liblinear"", ""threshold"": 0.45}",0.8863095238095238,0.8535947860898451,0.95260261892682,0.8981481481481481
GA-Tuning-Balanceado,4,0.8947142420533725,0.8594996299137044,23,logistic_regression,"{""C"": 0.1, ""class_weight"": null, ""max_iter"": 1000, ""penalty"": ""l1"", ""solver"": ""liblinear"", ""threshold"": 0.5}",0.8579365079365079,0.8594267337071991,0.9534902288540987,0.9074074074074073
GA-Tuning-Balanceado,5,0.8947142420533725,0.819409402524133,24,logistic_regression,"{""C"": 0.1, ""class_weight"": null, ""max_iter"": 1000, ""penalty"": ""l1"", ""solver"": ""liblinear"", ""threshold"": 0.5}",0.8579365079365079,0.8594267337071991,0.9534902288540987,0.9074074074074073
GA-Tuning-Balanceado,6,0.8947142420533725,0.8478138442379178,22,logistic_regression,"{""C"": 0.1, ""class_weight"": null, ""max_iter"": 1000, ""penalty"": ""l1"", ""solver"": ""liblinear"", ""threshold"": 0.5}",0.8579365079365079,0.8594267337071991,0.9534902288540987,0.9074074074074073
GA-Tuning-Balanceado,7,0.8947142420533725,0.8086502403952666,22,logistic_regression,"{""C"": 0.1, ""class_weight"": null, ""max_iter"": 1000, ""penalty"": ""l1"", ""solver"": ""liblinear"", ""threshold"": 0.5}",0.8579365079365079,0.8594267337071991,0.9534902288540987,0.9074074074074073
GA-Tuning-Balanceado,8,0.8947142420533725,0.8460027979320031,22,logistic_regression,"{""C"": 0.1, ""class_weight"": null, ""max_iter"": 1000, ""penalty"": ""l1"", ""solver"": ""liblinear"", ""threshold"": 0.5}",0.8579365079365079,0.8594267337071991,0.9534902288540987,0.9074074074074073
GA-Tuning-Balanceado,9,0.8947142420533725,0.8712716011528369,22,logistic_regression,"{""C"": 0.1, ""class_weight"": null, ""max_iter"": 1000, ""penalty"": ""l1"", ""solver"": ""liblinear"", ""threshold"": 0.5}",0.8579365079365079,0.8594267337071991,0.9534902288540987,0.9074074074074073
GA-Tuning-Balanceado,10,0.8947142420533725,0.8375772894432724,23,logistic_regression,"{""C"": 0.1, ""class_weight"": null, ""max_iter"": 1000, ""penalty"": ""l1"", ""solver"": ""liblinear"", ""threshold"": 0.5}",0.8579365079365079,0.8594267337071991,0.9534902288540987,0.9074074074074073
GA-Tuning-Balanceado,11,0.8947142420533725,0.8442961281989425,22,logistic_regression,"{""C"": 0.1, ""class_weight"": null, ""max_iter"": 1000, ""penalty"": ""l1"", ""solver"": ""liblinear"", ""threshold"": 0.5}",0.8579365079365079,0.8594267337071991,0.9534902288540987,0.9074074074074073
