feature,importance_mean,importance_std
total_foliculos,0.08885725635451269,0.01832079959585711
Follicle No. (R),0.05526075468912277,0.022765275668194185
soma_sintomas,0.033125532821824365,0.021525691475014985
hair growth(Y/N),0.0244818661730426,0.01891265232122637
Skin darkening (Y/N),0.013345039508340673,0.0066725197541703364
Weight gain(Y/N),0.005115089514066496,0.006264679649061836
Follicle No. (L),0.004345917471466188,0.015757481518351966
Cycle(R/I),0.001529784233910636,0.008310834509393978
razao_lh_fsh,0.0012406000687101514,0.006964877637954726
Hb(g/dl),0.0003511852502194879,0.006711682125940806
Height(Cm) ,0.0,0.0
Hair loss(Y/N),0.0,0.0
Cycle length(days),-0.00014366669327163794,0.009352113989022416
Endometrium (mm),-0.0013169446883230962,0.003950834064969288
AMH(ng/mL),-0.0021789448479527795,0.011892662264703733
Reg.Exercise(Y/N),-0.0026338893766461925,0.005267778753292385
Avg. F size (L) (mm),-0.003525605211294447,0.009924365131112048
No. of aborptions,-0.003950834064969289,0.006034998720310615
Weight (Kg),-0.003950834064969289,0.006034998720310615
Waist(inch),-0.003950834064969289,0.006034998720310615
Marraige Status (Yrs),-0.005267778753292385,0.006451685011720428
Pulse rate(bpm) ,-0.006584723441615481,0.00658472344161548
Avg. F size (R) (mm),-0.00786753194128088,0.009627573651507305
BMI,-0.007901668129938578,0.006451685011720427
faixa_imc,-0.007901668129938578,0.006451685011720427
Hip(inch),-0.007901668129938578,0.006451685011720427
 Age (yrs),-0.009218612818261673,0.006034998720310615
LH(mIU/mL),-0.009218612818261673,0.006034998720310615
Vit D3 (ng/mL),-0.011852502194907865,0.003950834064969288
Fast food (Y/N),-0.013169446883230962,0.0
Pimples(Y/N),-0.013249261712826277,0.008455852909664953
